scientific_name_(check),reference,amostra_stefany,new_description_stefany,scientific_name_(original),name_phylogeny,genus,specific_Epithet,infraspecific_Epithet,rank,bitetrad_presence (remove?),grains,outline,pollen_arrangement,DU_planes,ornamentation,pore_number,longer_diameter_mean,longer_diameter_min,longer_diameter_max,shorter_diameter_mean,shorter_diameter_min,shorter_diameter_max,pore_diameter_min,pore_diameter_max,pore_diameter_mean,exine_thickness_min,exine_thickness_max,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean,voucher,herbarium,herbarium_code,voucher_review,image_of_literature
Mimosa tetragona,Flores-Cruz - 2006,,,Mimosa tetragona ,Mimosa_tetragona,Mimosa,tetragona,,Species,-,2,1,0,0,2,,30.000,30.000,30.000,25.000,25.000,25.000,,,,,,,,,J. A. Duke 5691 / R. Van et al. 3121,MO / NY,,,Mimosa_tetragona-Flores-Cruz-2006-1μm
Mimosa trianae,Santos-Silva - 2013,,,Mimosa trianae ,Mimosa_trianae,Mimosa,trianae,,Species,-,1&2,1,,,,,15.500,13.200,20.000,14.000,12.900,15.000,,,,,,,,,D. O. Allen 3326,MO,,,
Mimosa ulbrichiana,Lima - 2008,,,Mimosa ulbrichiana ,Mimosa_ulbrichiana,Mimosa,ulbrichiana,,Species,-,2,,0&3,0&1,0&6,0&1,26.800,25.000,29.000,20.500,19.000,22.000,,,,1.000,1.000,1.000,,,T.S. Nunes et al. 965,HUEFS,,,Mimosa_ulbrichiana-Lima-2008-5μm
Mimosa ulei var. ulei,LiauKang,,x,Mimosa ulei var. ulei ,Mimosa_ulei_ulei,Mimosa,ulei,ulei,Variety,-,2,1,0&5,0,0,1,18.400,17.500,20.000,11.400,7.500,12.500,0.500,0.100,0.300,0.470,0.760,0.570,,,Forzza 386,SPF,,,
Mimosa ursina,Lima - 2008,,,Mimosa ursina,Mimosa_ursina,Mimosa,ursina,,Species,-,0&1,,,,0,0,18.150,15.000,22.000,16.000,15.000,17.000,3.600,3.600,3.600,1.700,1.700,1.700,,,M.L.Guedes et al. PCD5161 / L.P. Queiroz et al. 9175 / T.S. Nunes et al. 1027A,HUEFS / HUEFS / HUEFS,HUEFS 28381 / HUEFS 82501 / HUEFS 111176,,Mimosa_ursina-Lima-2008-5μm / Mimosa_ursina-2-Lima-2008-5μm / Mimosa_ursina-3-Lima-2008-5μm / Mimosa_ursina-4-Lima-2008-5μm / Mimosa_ursina-5-Lima-2008-5μm / Mimosa_ursina-6-Lima-2008-5μm / Mimosa_ursina-7-Lima-2008-5μm / Mimosa_ursina-8-Lima-2008-5μm / Mimosa_ursina-9-Lima-2008-5μm
Mimosa velloziana,Lima - 2008,,,Mimosa velloziana ,Mimosa_velloziana,Mimosa,velloziana,,Species,-,2,,0&5,0,0,,10.400,9.500,11.000,9.900,9.000,11.000,,,,0.500,0.500,0.500,,,L.P. Queiroz et al. 9185,HUEFS,,,
Mimosa verrucosa,Lima - 2008 / Santos-Silva - 2013,,,Mimosa verrucosa,Mimosa_verrucosa,Mimosa,verrucosa,,Species,-,2,1,0,0,0&6,,19.100,15.600,22.500,13.650,8.000,17.400,,,,1.000,1.000,1.000,,,K.R.B. Leite et al. 397 / J. S. Silva 827 / J. S. Silva and M. C. Abreu 877,HUEFS / UEC / UEC,HUEFS 75510 / COR 16793 (J. S. Silva 827),,Mimosa_verrucosa-Lima-2008-5μm / Mimosa_verrucosa-2-Lima-2008-5μm / Mimosa_verrucosa-Santos-Silva-2013-1μm / Mimosa_verrucosa-2-Santos-Silva-2013-1μm
Mimosa watsonii,Medina-Acosta-2018,,,Mimosa watsonii ,Mimosa_watsonii,Mimosa,watsonii,,Species,-,4,1,2,0,2&3,0,20.700,20.700,20.700,14.540,14.540,14.540,0.860,0.860,0.860,0.750,0.750,0.750,,,E. Martínez S. et al. 5797 / R. Torres C. et al. 7615 / E. Ventura et al. 2660,UAMIZ10551 / UAMIZ16109 / UAMIZ30668,,,Mimosa_watsonii-Medina-Acosta-2018-10μm / Mimosa_watsonii-2-Medina-Acosta-2018-10μm / Mimosa_watsonii-3-Medina-Acosta-2018-10μm / Mimosa_watsonii-4-Medina-Acosta-2018-10μm / Mimosa_watsonii-5-Medina-Acosta-2018-2μm / Mimosa_watsonii-6-Medina-Acosta-2018-2μm / Mimosa_watsonii-7-Medina-Acosta-2018-10μm / Mimosa_watsonii-8-Medina-Acosta-2018-1μm / Mimosa_watsonii-9-Medina-Acosta-2018-2μm / Mimosa_watsonii-10-Medina-Acosta-2018-500nm / Mimosa_watsonii-11-Medina-Acosta-2018-200nm
Mimosa xavantinae,Santos-Silva - 2013,,,Mimosa xavantinae ,Mimosa_xavantinae,Mimosa,xavantinae,,Species,-,2,1,,,,,14.500,10.000,16.700,13.000,9.000,15.000,,,,,,,,,W. R. Anderson 9668,NY,,,
Mimosa xiquexiquensis,Lima - 2008,,,Mimosa xiquexiquensis ,Mimosa_xiquexiquensis,Mimosa,xiquexiquensis,,Species,-,2,,0&5,0,0&6,0&1,16.600,15.000,18.800,13.000,11.300,15.000,,,,0.500,0.500,0.500,,,L.P. Queiroz et al. 7909,HUEFS,,,Mimosa_xiquexiquensis-Lima-2008-5μm / Mimosa_xiquexiquensis-2-Lima-2008-5μm / Mimosa_xiquexiquensis-3-Lima-2008-5μm
Naiadendron duckeanum,Guinet & Caccavari - 1992,,,Stryphnodendron duckeanum ,Naiadendron_duckeanum,Naiadendron,duckeanum,,Species,-,5,1&2,,,4&6,,36.600,36.600,36.600,26.300,26.300,26.300,1.400,1.900,1.650,0.800,1.000,0.900,,,"Ducke s.n. (9.06.1930, isotype) / Monteiro et al. 929",RFA / INPA,,,Stryphnodendron_duckeanum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_duckeanum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_duckeanum-3-Guinet & Caccavari-1992-x1000 / Stryphnodendron_duckeanum-4-Guinet & Caccavari-1992-x1000
Neptunia prostrata,LiauKang,24,,Neptunia oleracea ,Neptunia_prostrata,Neptunia,prostrata,,Species,-,0,,,,,,46.130,41.873,51.732,49.881,46.445,55.588,6.549,11.002,8.776,2.460,3.439,2.950,,,J. Paula-Souza 5201 (ESA 90819),ESA,,,
Parapiptadenia blanchetii,Caccavari - 2002 / Ribeiro - 2018,,,Parapiptadenia blanchetii ,Parapiptadenia_blanchetii,Parapiptadenia,blanchetii,,Species,-,5,2,,,4,,31.275,25.000,47.500,26.300,22.500,30.000,,,,1.000,1.000,1.000,,,Blanchet Typus! 3295 / Grupo Pedra do Cavalo 1096 / Lemos 56 / Melo 1410,RB / HUEFS / HUEFS / HUEFS,NY 3202 / HUEFS 1090 / HUEFS 2750 / HUEFS 24846,,Parapiptadenia_blanchetii-Caccavari-2002-10µm / Parapiptadenia_blanchetii-Ribeiro-2018-10μm / Parapiptadenia_blanchetii-2-Ribeiro-2018-10μm / Parapiptadenia_blanchetii-3-Ribeiro-2018-10μm
Parapiptadenia excelsa,Caccavari - 2002,,,Parapiptadenia excelsa ,Parapiptadenia_excelsa,Parapiptadenia,excelsa,,Species,-,4,,,,,,36.000,,,,,,,,,,,,,,J. Santos Biloni 4016,SI,,,Parapiptadenia_excelsa-Caccavari-2002-10µm
Parapiptadenia pterosperma,Caccavari - 2002 / Freitas-Cruz - 2018,,,Parapiptadenia pterosperma / Piptadenia pterosperma,Parapiptadenia_pterosperma,Parapiptadenia,pterosperma,,Species,,5,0,,,3,,37.550,31.500,40.000,29.100,25.000,35.000,,,,,,2.000,1.000,1.000,Campos Porto 2481 / RD Ribeiro 62 & HG Dantas / H Lima et al. 2796,RB / RB / RB,RB 29706 / RB 406389 / RB 258410,,Piptadenia_pterosperma-Cruz-2018-5μm / Piptadenia_pterosperma-2-Cruz-2018-5μm / Piptadenia_pterosperma-3-Cruz-2018-5μm
Parapiptadenia rigida,LiauKang,Predio,,Parapiptadenia rigida ,Parapiptadenia_rigida,Parapiptadenia,rigida,,Species,-,5,,,,,,,,,,,,,,,,,,,,,SPSC,,,
Parapiptadenia zehntneri,Caccavari - 2002 / Buril - 2010 / Ribeiro - 2018,,,Parapiptadenia zehntneri,Parapiptadenia_zehntneri,Parapiptadenia,zehntneri,,Species,,5,2,2,,0&4,1&3,30.400,23.800,37.500,26.000,20.000,32.500,,,,1.000,1.100,1.050,,,Harley 16198 / J.R.Lemos 262 / Bandeira 82 / Conceição 2536 / Guedes 16085,"RB / IPA , HUEFS / HUEFS / HUEFS / HUEFS","RB 196355 / IPA 69464, HUEFS 95711 / HUEFS 19021 / HUEFS 127855 / HUEFS 170315",,Parapiptadenia_zehntneri-Buril-2010-10μm / Parapiptadenia_zehntneri-2-Buril-2010-10μm / Parapiptadenia_zehntneri-3-Buril-2010-10μm / Parapiptadenia_zehntnerii-Ribeiro-2018-10μm / Parapiptadenia_zehntnerii-2-Ribeiro-2018-10μm / Parapiptadenia_zehntnerii-3-Ribeiro-2018-10μm / Parapiptadenia_zehntnerii-4-Ribeiro-2018-10μm
Piptadenia adiantoides,LiauKang / Caccavari - 2002 / Ribeiro - 2018,14,,Piptadenia adiantoides,Piptadenia_adiantoides,Piptadenia,adiantoides,,Species,present,3&4,2,5,0,4,,22.590,18.000,26.000,18.975,12.255,24.000,0.609,0.934,0.772,0.467,0.635,0.551,,,V. C. Souza 29980 / G. Hatschbach 47692 / Lopes 792 / Oliveira 599 / Pirani 5029,ESA / RB / HUEFS / HUEFS / HUEFS,ESA 88363 / RB 226098 / HUEFS 111028 / HUEFS 45655 / HUEFS 68930,,Piptadenia_adiantoides-Ribeiro-2018-10μm / Piptadenia_adiantoides-2-Ribeiro-2018-10μm
Piptadenia affinis,Barth & Yoneshigue - 1966,,,Pityrocarpa affinis,Piptadenia_affinis,Piptadenia,affinis,,Species,present,3,,5,0&1,4,0,31.500,27.300,35.700,23.100,18.900,27.300,3.700,,3.700,,,1.700,,0.790,Reitz e Klein 8037,HBR,HBR 25858,,
Piptadenia anolidurus,Caccavari - 2002,,,Piptadenia anolidorus ,Piptadenia_anolidurus,Piptadenia,anolidurus,,Species,,2&3,2,,,,,25.000,,,,,,,,,,,,,,Kirkbride Jr. & Lleras 2767,K,,,Piptadenia_anolidurus-Caccavari-2002-10µm
Piptadenia floribunda,Caccavari - 2002,,,Piptadenia floribunda ,Piptadenia_floribunda,Piptadenia,floribunda,,Species,-,5,1,,,,,42.000,,,,,,,,,,,,,,Mori & Bolten 8463,K,,,
Piptadenia fruticosa,Caccavari - 2002,,,Piptadenia fruticosa ,Piptadenia_fruticosa,Piptadenia,fruticosa,,Species,,3&4,2,,,,,19.000,,,,,,,,,,,,,,A. Glaziou 3722,K,,,
Piptadenia gonoacantha,Caccavari - 2002,,,Piptadenia gonoacantha ,Piptadenia_gonoacantha,Piptadenia,gonoacantha,,Species,-,4,2,,,,,38.000,,,,,,,,,,,,,,De Souza 15,RB,,,
Piptadenia irwinii,Ribeiro - 2018,,,Piptadenia irwinii,Piptadenia_irwinii,Piptadenia,irwinii,,Species,-,5,,2,,4,,23.133,17.500,25.000,18.733,15.000,25.000,,,,1.000,1.000,1.000,,,Jardim 3303 / Queiroz 12652 / Queiroz 12887,HUEFS / HUEFS / HUEFS,CEPEC 89901 / HUEFS 118159 / HUEFS 118384,,Piptadenia_irwinii-Ribeiro-2018-10μm / Piptadenia_irwinii-2-Ribeiro-2018-10μm / Piptadenia_irwinii-3-Ribeiro-2018-10μm
Piptadenia irwinii var. irwinii,Caccavari - 2002,,,Piptadenia irwinii var. irwinii ,Piptadenia_irwinii_irwinii,Piptadenia,irwinii,irwinii,Variety,,4,2,,,,,26.000,,,,,,,,,,,,,,Irwin et al. 3117,K,,,
Piptadenia irwinii var. unijuga,Caccavari - 2002,,,Piptadenia irwinii var. unijuga ,Piptadenia_irwinii_unijuga,Piptadenia,irwinii,unijuga,Variety,,4,2,,,,,25.000,,,,,,,,,,,,,,S. A. Movi 9501,K,,,
Piptadenia killipii,Caccavari - 2002,,,Piptadenia killipii ,Piptadenia_killipii,Piptadenia,killipii,,Species,,3&4,2,,,,,20.000,,,,,,,,,,,,,,Klug 4333,SI,,,
Piptadenia micracantha,Caccavari - 2002,,,Piptadenia macrantha ,Piptadenia_micracantha,Piptadenia,micracantha,,Species,-,4,2,,,,,19.000,,,,,,,,,,,,,,Ram. et Rodrigues 1163,RB,,,
Piptadenia minutiflora,Caccavari - 2002,,,Piptadenia minutiflora ,Piptadenia_minutiflora,Piptadenia,minutiflora,,Species,-,5,1&2,,,,,50.000,,,,,,,,,,,,,,Rodri. et Chagas 2901,RB,,,Piptadenia_minutiflora-Caccavari-2002-10µm
Piptadenia paniculata,LiauKang,50,,Piptadenia paniculata ,Piptadenia_paniculata,Piptadenia,paniculata,,Species,-,5,,,,,,35.592,30.910,42.080,25.699,24.103,27.080,0.635,0.990,0.813,0.418,0.669,0.544,,,H. C. Lima 4357,ESA,NY 1144695,,
Piptadenia polyptera,Caccavari - 2002,,,Piptadenia polyptera ,Piptadenia_polyptera,Piptadenia,polyptera,,Species,,3,2,,,,,25.000,,,,,,,,,,,,,,,,,,Piptadenia_polyptera-Caccavari-2002-10µm
Piptadenia retusa,Caccavari - 2002,,,Piptadenia flava,Piptadenia_retusa,Piptadenia,retusa,,Species,,4,2,,,,,23.000,,,,,,,,,,,,,,Harley et al 18967,RB,,,
Piptadenia santosii,Caccavari - 2002,,,Piptadenia santosii ,Piptadenia_santosii,Piptadenia,santosii,,Species,-,4,2,,,,,50.000,,,,,,,,,,,,,,T. S. dos Santos 2236,K,,,
Piptadenia stipulacea,Caccavari - 2002 / Buril - 2010,,,Piptadenia stipulacea,Piptadenia_stipulacea,Piptadenia,stipulacea,,Species,-,4,1&2,2,,0,0&1,23.400,22.500,30.000,19.300,17.500,21.200,,,,1.000,1.000,1.000,,,Collares et Dutra 140 / E. Córdula 261 / Y. Melo 183,RB / UFP / UFP,RB 233898 / UFP 47440 / UFP 47436,,Piptadenia_stipulacea-Buril-2010-5μm / Piptadenia_stipulacea-2-Buril-2010-5μm / Piptadenia_stipulacea-3-Buril-2010-5μm / Piptadenia_stipulacea-Buril-2010-5μm / Piptadenia_stipulacea-2-Buril-2010-5μm / Piptadenia_stipulacea-3-Buril-2010-5μm
Piptadenia trisperma,Caccavari - 2002 / Freitas-Cruz - 2018,,,Piptadenia trisperma ,Piptadenia_trisperma,Piptadenia,trisperma,,Species,present,3,2,,,3,,26.250,27.500,27.500,21.300,17.500,25.000,,,,,,,1.000,1.000,P. Lewis et H. 1191 / LTF Menezes et al. s.n.,RB / RBR,RB 222215 / RBR 8163,,Piptadenia_trisperma-Cruz-2018-10μm / Piptadenia_trisperma-2-Cruz-2018-10μm / Piptadenia_trisperma-3-Cruz-2018-5μm / Piptadenia_trisperma-4-Cruz-2018-5μm
Pityrocarpa brenanii,LiauKang,79,,Pseudopiptadenia brenanii,Pityrocarpa_brenanii,Pityrocarpa,brenanii,,Species,-,4&5,,,,4,,33.759,27.500,47.500,27.993,19.248,37.500,0.418,0.669,0.544,0.233,0.467,0.350,,,A. C. Sevilha 6195 / Cardoso 581 / Guedes 16722 / Neves 263,CEN / HUEFS / HUEFS / HUEFS,CEN 103168 / HUEFS 96970 / HUEFS 159209 / HUEFS 162090,,Pseudopiptadenia_brenanii-Ribeiro-2018-10μm / Pseudopiptadenia_brenanii-2-Ribeiro-2018-10μm / Pseudopiptadenia_brenanii-3-Ribeiro-2018-10μm
Pityrocarpa inaequalis,Caccavari - 2002,,,Pseudopiptadenia inaequalis ,Pityrocarpa_inaequalis,Pityrocarpa,inaequalis,,Species,,4,2,,,,,43.000,,,,,,,,,,,,,,M. de Lima 2293,RB,,,
Pityrocarpa leptostachya,LiauKang,,,Pseudopiptadenia leptostachya ,Pityrocarpa_leptostachya,Pityrocarpa,leptostachya,,Species,-,5,,,,,,,,,,,,,,,,,,,,D. Sucre 7380,ESA,ESA 116275,,
Pityrocarpa moniliformis,Buril - 2010 / Ribeiro - 2018 / Guinet & Caccavari - 1992,,,Pityrocarpa moniliformis / Stryphnodendron consimile ,Pityrocarpa_moniliformis,Pityrocarpa,moniliformis,,Species,absent,3,1&2,2,0,4&6,0&1&2,21.817,17.000,30.800,18.250,13.000,34.100,1.800,1.800,1.800,1.000,1.000,1.000,,,M.T. Vital 72 / E. Córdula 24 / Eiten 10840 / Ferreira 17 / Melo 7518 / Ramalho 52,UFP / UFP / HUEFS / HUEFS / HUEFS / RFA,UFP 47448 / UFP 47441 / HUEFS 146824 / HUEFS 118108 / HUEFS 157870 / RFA 17173,,Pityrocarpa_moniliformis-Buril-2010-5μm / Pityrocarpa_moniliformis-2-Buril-2010-5μm / Pityrocarpa_moniliformis-3-Buril-2010-5μm / Pityrocarpa_moniliformis-Buril-2010-5μm / Pityrocarpa_moniliformis-2-Buril-2010-5μm / Pityrocarpa_moniliformis-3-Buril-2010-5μm / Pityrocarpa_moniliformis-Ribeiro-2018-10μm / Stryphnodendron_consimile-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_consimile-2-Guinet & Caccavari-1992-x2100 / Stryphnodendron_consimile-3-Guinet & Caccavari-1992-x10600
Pityrocarpa obliqua,Caccavari - 2002 / Ribeiro - 2018,,,Piptadenia obliqua subs. obliqua / Pityrocarpa obliqua subs. brasiliensis ,Pityrocarpa_obliqua,Pityrocarpa,obliqua,,Species,absent,3&5,2,,,0,,30.600,27.500,35.000,26.000,22.500,27.500,,,,1.000,1.000,1.000,,,Hinton 10321 / Carneiro-Torres 310,K / HUEFS,HUEFS 105931,Carneiro-Torres 310 = Pityrocarpa obliqua,Pityrocarpa_obliqua_subsp.brasiliensis-Ribeiro-2018-10μm / Pityrocarpa_obliqua_subsp.brasiliensis-2-Ribeiro-2018-10μm
Pityrocarpa obliqua subsp. brasiliensis,Ribeiro - 2018,,,Pityrocarpa obliqua subs. brasiliensis ,Pityrocarpa_obliqua_brasiliensis,Pityrocarpa,obliqua,brasiliensis,Subspecies,-,5,,,,0,,32.150,25.000,37.500,25.500,22.500,27.500,,,,,,,,,Queiroz 12903 / Silva-Castro 901,HUEFS / HUEFS,HUEFS 118400 / HUEFS 105930,,
Pityrocarpa schumanniana,Caccavari - 2002,,,Pseudopiptadenia schumanniana ,Pityrocarpa_schumanniana,Pityrocarpa,schumanniana,,Species,-,5,2,,,,,42.000,,,,,,,,,,,,,,M. P. M. de Lima et al. 27,RB,,,Pseudopiptadenia_schumanniana-Caccavari-2002-10µm
Senegalia nigrescens,Kenrick & Knox - 1982,,,Senegalia nigrescens ,Senegalia_nigrescens,Senegalia,nigrescens,,Species,-,5,,,,,,,,,,,,,,,,,,,,,,,,
Stryphnodendron adstringens,Guinet & Caccavari - 1992 / LiauKang,17,,Stryphnodendron adstringens,Stryphnodendron_adstringens,Stryphnodendron,adstringens,,Species,-,5,1&2,,,4&6,,31.678,24.600,38.269,23.114,20.046,26.361,0.226,1.900,1.063,0.202,1.000,0.605,,,"Assis 298 / Glaziou 21030 / Hammar 5602 / Maguire et al. 56523 / V. C. Souza 21319, L. Capellari Jr., J. Paula-Souza, F. F. Mazine",RB / P / RFA / NY / ESA,RB 226406 / P02734292 / RFA 19677 / NY 00934670 / ESA 48922,,Stryphnodendron_adstringens-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-3-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-4-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-5-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-6-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-7-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-8-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-9-Guinet & Caccavari-1992-x10000
Stryphnodendron cristalinae,Guinet & Caccavari - 1992,,,Stryphnodendron cristalinae ,Stryphnodendron_cristalinae,Stryphnodendron,cristalinae,,Species,-,5,1&2,,,6,,34.100,34.100,34.100,27.000,27.000,27.000,1.600,2.000,1.800,0.800,1.300,1.050,,,Heringer & Rizzini 11128,MG,,,
Stryphnodendron gracile,Guinet & Caccavari - 1992,,,Stryphnodendron gracile ,Stryphnodendron_gracile,Stryphnodendron,gracile,,Species,-,5,1&2,,,6,,30.800,30.800,30.800,34.100,34.100,34.100,1.800,1.900,1.850,1.000,1.000,1.000,,,Heringer 7369 / Heringer et al. 7361,RB / RB,,,
Stryphnodendron platyspicum,Guinet & Caccavari - 1992 / LiauKang,55,,Stryphnodendron platyspicum / Stryphnodendron pumillum ,Stryphnodendron_platyspicum,Stryphnodendron,platyspicum,,Species,-,5,1&2,,,6,,31.854,26.360,34.083,21.277,19.052,25.500,0.418,2.000,1.209,0.209,1.300,0.755,,,Glaziou 21031 / Irwin et al. 8017 / Martinelli et al. 7419 / Ratter et al. 4222 / G. Pereira-Silva 5558,MPU / NY / RB / K / ESA,R-Tipos 8377 (Glaziou 21031) / UB 40264 (Martinelli et al. 7419) / UB 40271 (Ratter et al. 4222) / CEN 43846,,Stryphnodendron_platyspicum-Guinet & Caccavari-1992-x10600
Stryphnodendron polyphyllum,Guinet & Caccavari - 1992,,,Stryphnodendron polyphyllum / Stryphnodendron polyphyllum var. villosum ,Stryphnodendron_polyphyllum,Stryphnodendron,polyphyllum,,Species,-,5,1&2,,,4&6,,32.400,24.600,36.600,34.100,24.200,24.200,1.400,1.900,1.650,0.800,1.000,0.900,,,Macedo 528 / Martius 1102 / Pereira et al. 9510  / Dobereiner 74 (var. villosum) / Miers s.n. (var. villosum),US / BR / RFA / RFA / P,RFA 5431 (Dobereiner 74) / P02735168 (Miers s.n.),Dobereiner 74 (var. villosum) and Miers s.n. (var. villosum) = Stryphnodendron polyphyllum,Stryphnodendron_polyphyllum_var. villosum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_polyphyllum_var. villosum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_polyphyllum_var. villosum-3-Guinet & Caccavari-1992-x1000
Stryphnodendron polyphyllum var. villosum,Guinet & Caccavari - 1992,,,Stryphnodendron humile ,Stryphnodendron_polyphyllum_villosum,Stryphnodendron,polyphyllum,villosum,Variety,,5,1&2,,,4&6,,31.000,31.000,31.000,34.100,23.400,23.400,2.300,2.300,2.300,0.800,1.000,0.900,,,Heringer 7783,RFA,RFA 18438,,
Vachellia farnesiana,LiauKang,20,,Vachellia farnesiana ,Vachellia_farnesiana,Vachellia,farnesiana,,Species,-,5,,,,,,39.587,35.903,42.614,36.244,29.721,39.990,1.124,2.088,1.606,0.861,1.476,1.169,,,J. Paula-Souza 7838,ESA,ESA 98949,,